id,question,targets,output_type
004_tg_norba_24.txt,Quando è stato lanciato il TG Norba 24?,"['2010-10-25', 'venticinque ottobre duemiladieci', '25 ottobre 2010', '25/10/2010']",una data
0499_regno_ditalia_1861-1946.txt,"In che anno si tenne in Italia il referendum istituzionale del 2 e 3 giugno, che sancì la nascita della Repubblica Italiana?","['1946', 'millenovecentoquarantasei', 'mille novecento quarantasei']",una data
0821_gué_pequeno.txt,In quale anno è uscito il singolo di Gué Pequeno Non lo spegnere (Reloaded)?,"['2011', 'duemilaundici', 'duemila e undici']",una data
1036_strage_di_capaci.txt,In quale data morì l'agente di scorta Antonio Montinaro?,"['23-05-1992', '1992-05-23', '23 maggio 1992', '23/05/1992', '05/23/1992']",una data
1628_alessandra_amoroso.txt,In che data Alessandra Amoroso partecipa alla Notte della Taranta a Melpignano nel 2009?,"['22', 'ventidue giugno duemilanove', '6', 'ventidue giugno 2009', '09', '06', '2009', '22 giugno duemilanove', '22/06/2009', '22 giugno 2009']",una data
2251_elio_germano.txt,In che anno Elio Germano fonda il gruppo 'Bestierare'?,"['millenovecentonovantasette', '1997', 'mille novecento novantasette']",una data
236_don_matteo.txt,Quando è stata trasmessa la prima puntata di Don Matteo?,"['7 gennaio 2000', '7/1/2000', '07/01/2000', '2000-01-07', 'sette gennaio duemila']",una data
011_iris_rete_televisiva.txt,"Quanti anni sono trascorsi dall'uscita del quiz ""Parole crociate"" condotto da Daniele Bossari nel 2011 a quando il canale Iris è diventato disponibile sulla piattaforma Sky Italia il 2 gennaio 2019?","['8', 'otto', '8 anni', 'otto anni']",un periodo di tempo
047_matteo_salvini.txt,"Considerando i mandati tra il 1990 e il 2020, per quanti anni in totale Matteo Salvini è stato consigliere comunale di Milano?","['diciannove', '19', 'diciannove anni', '19 anni']",un periodo di tempo
085_mario_balotelli.txt,"Quanti anni dopo l'esordio di Mario Balotelli nella nazionale italiana, egli fu inserito per la prima volta nella classifica del Pallone d'oro FIFA?","['2', '2 anni', 'due anni', 'due']",un periodo di tempo
128_ezio_bosso.txt,Quanti anni trascorsero fra l'avvicinamento alla musica di Ezio Bosso e il suo esordio come solista?,"['12', 'dodici anni', '12 anni', 'dodici']",un periodo di tempo
132_società_sportiva_calcio_napoli.txt,Quanti anni sono passati tra la prima vittoria del Napoli nella Supercoppa Italiana e la sua seconda?,"['ventiquattro anni', '24', '24 anni', 'ventiquattro']",un periodo di tempo
190_premium_cinema.txt,Per quanti anni è attivo il canale Premium Cinema Energy su Mediaset Premium prima della fusione con il canale Premium Cinema?,"['undici', 'undici anni', '11 anni', '11']",un periodo di tempo
215_michelle_hunziker.txt,Dopo quanti anni dal suo debutto sulla tv italiana ha iniziato Michelle Hunziker a prendere parte ai programmi della Mediaset?,"['3 anni', 'tre', 'tre anni', '3']",un periodo di tempo
233_alessandro_manzoni.txt,Quanti anni visse Alessandro Manzoni?,"['88 anni', 'ottantotto anni', 'ottantotto', '88']",un periodo di tempo
237_manuel_agnelli.txt,Quanti anni sono passati tra la pubblicazione del primo libro di Manuel Agnelli e la terza edizione del Tora! Tora! Festival?,"['quattro anni', '4', 'quattro', '4 anni']",un periodo di tempo
014_canale_5.txt,In che anno Antonio Melchiorre diede le dimissioni da amministratore unico di Canale 5 Music S.r.l.?,"['millenovecentoottanta', '1980', 'millenovecentottanta']",un anno
231_presidente_della_repubblica_italiana.txt,In che anno è finito naturalmente il primo mandato da Presidente della Repubblica di Sergio Mattarella?,"['2022', 'duemila e ventidue', 'duemilaventidue']",un anno
037_gomorra_-_la_serie.txt,Quanti anni sono trascorsi tra il primo ciak della prima stagione di Gomorra e la fine delle riprese dell'ultima stagione?,"['8', 'otto', '8 anni', 'otto anni']",un numero
066_mia_martini.txt,Quanti anni passano tra la prima vittoria al Festivalbar di Mia Martini e il suo quarto posto all'Eurovision?,"['20 anni', 'venti', '20', 'venti anni']",un numero
0673_daniele_de_rossi.txt,Quante volte Daniele De Rossi è stato campione del mondo con la nazionale italiana di calcio come giocatore?,"['1 volta', 'una', 'una volta', '1']",un numero
1244_antonella_elia.txt,Quante volte Antonella Elia ha partecipato come valletta a La Corrida - Dilettanti allo sbaraglio fino al 2024?,"['4', 'Quattro']",un numero
125_adriano_celentano.txt,Quanti anni aveva la madre di Adriano Celentano quando suo figlio vinse Sanremo?,"['settantaquattro anni', '74', 'settantaquattro', '74 anni']",un numero
133_rai_movie.txt,"Quante volte il canale RaiMovie ha cambiato nome, fino a diventare RaiMovie nel 2010?","['3 volte', 'tre', 'tre volte', '3']",un numero
136_totò.txt,"Quanti anni aveva Anna Clemente quando dette alla luce suo figlio, il famoso Totò?","['diciassette anni', 'diciassette', '17 anni', '17']",un numero
141_antonino_cannavacciuolo.txt,Quanti anni aveva Cannavacciuolo quando ha ottenuto la sua prima stella Michelin?,"['28 anni', 'ventotto anni', '28', 'ventotto']",un numero
159_beatrice_vio.txt,A che età Bebe Vio ha disputato la sua prima gara ufficiale?,"['tredici anni', '13', 'tredici', '13 anni']",un numero
1854_mino_raiola.txt,Quanti giocatori Mino Raiola riuscì a cedere a squadre italiane da direttore sportivo dell'Haarlem?,"['0', 'Nessuno', 'Zero']",un numero
192_achille_lauro_rapper.txt,Quanti anni aveva Achille Lauro quando ha partecipato per la prima volta a Pechino Express?,"['27 anni', 'ventisette', 'ventisette anni', '27']",un numero
195_ermal_meta.txt,Quante volte Ermal Meta ha partecipato al Festival di Sanremo prima di intraprendere la carriera solista?,"['2', 'due', '2 volte', 'due volte']",un numero
238_sergio_mattarella.txt,A che età Sergio Mattarella è diventato Presidente della Repubblica?,"['settantatré anni', '73 anni', '73', 'settantatre', 'settantatre anni', 'settantatré']",un numero
240_pier_paolo_pasolini.txt,Quanti trasferimenti di città ha dovuto subire Pier Paolo Pasolini dal 1925 fino al 1935?,"['sette trasferimenti di città', 'sette trasferimenti', '7 trasferimenti', 'sette', '7 trasferimenti di città', '7']",un numero
241_mostro_di_firenze.txt,Quante vittime si attribuiscono al Mostro di Firenze?,"['sedici vittime', '16', '16 vittime', 'sedici']",un numero
254_anniversario_della_liberazione_ditalia.txt,Quanti anni sono passati dalla liberazione d'Italia a quando questa è stata istituita stabilmente come giorno festivo in Italia?,"['quattro anni', '4', 'quattro', '4 anni']",un numero
255_tommaso_buscetta.txt,Quante mogli ebbe in tutto Tommaso Buscetta?,"['3 mogli', 'tre', 'tre mogli', '3']",un numero
040_fabrizio_de_andré.txt,A quanti anni Fabrizio De André vinse il premio Lunezia per il valor musical-letterario del brano Smisurata preghiera?,"['cinquantasette anni', '57', 'cinquantasette', ""Per quale brano Fabrizio Cristiano De André vinse un premio all'età di cinquantasette anni?"", '57 anni']",un'età
060_chiara_ferragni.txt,Quanti anni aveva Francesca Ferragni quando sua sorella Chiara Ferragni è diventata global ambassador di Pantene?,"['27 anni', 'ventisette', 'ventisette anni', '27']",un'età
061_luigi_di_maio.txt,Quanti anni aveva Luigi Di Maio quando diventò il più giovane vicepresidente della Camera nella storia d'Italia fino a quel momento?,"['27 anni', 'ventisette', 'ventisette anni', '27']",un'età
081_fedez.txt,Quanti anni ha Fedez quando ottiene 4 nomination agli MTV Hip Hop Awards 2012?,"['23 anni', 'ventitré', '23', 'ventitré anni']",un'età
101_lucio_battisti.txt,Quanti anni aveva Lucio Battisti al momento del conseguimento del titolo di perito elettrotecnico?,"['diciannove', '19', 'diciannove anni', '19 anni']",un'età
208_elettra_lamborghini.txt,"Quanti anni aveva Elettra Lamborghini quando ha pubblicato il suo singolo ""Pistolero""?","['27 anni', 'ventisette', 'ventisette anni', '27']",un'età
253_claudio_baglioni.txt,"Quanti anni aveva Claudio Baglioni quando ha prodotto il suo album ""La vita è adesso""?","['trentaquattro', '34 anni', '34', 'trentaquattro anni']",un'età
278_maria_de_filippi.txt,A che età ha pubblicato il suo primo libro Maria De Filippi?,"['35 anni', 'trentacinque anni', 'trentacinque', '35']",un'età
0454_emma_marrone.txt,Quale è la candidatura di riconoscimento mondiale che Emma Marrone ha ricevuto durante la sua carriera musicale?,"['World Music Award', 'World Music Award (World Music Awards)', 'World Music Awards']",una parola
0767_gradi_e_qualifiche_dellarma_dei_carabinieri.txt,"Quale corso del concorso per divenire vicebrigadiere riservato sia agli appuntati scelti e quello aperto a tutto il ruolo degli appuntati e carabinieri con almeno quattro anni di servizio è più lungo, il primo o il secondo?","['secondo', 'il secondo']",una parola
1124_strage_di_bologna.txt,"Federico Umberto D'Amato è stato individuato dalla Procura di Bologna tra i mandanti, finanziatori  della strage di Bologna del 1980?",['Sì'],una parola
1457_cassa_integrazione_guadagni.txt,È possibile attivare la CIGO in caso di pandemia?,['Sì'],una parola
1546_attilio_fontana_politico.txt,"Prima di ricoprire la carica di sindaco di Induno Olona, quale altra carica ha ricoperto Attilio Fontana per la stessa città?",['Conciliatore'],una parola
1588_leonardo_spinazzola.txt,In quale posizione di campo è stato impiegato principalmente Leonardo Spinazzola durante la sua carriera?,"['terzino', 'terzino sinistro']",una parola
186_bruno_barbieri_chef.txt,Quale figura genitoriale nella vita di Barbieri non risulta essere stata presente durante la sua scalata al successo?,"['Il padre', 'padre']",una parola
2004_ivan_cattaneo.txt,Quale aspetto della sua identità Ivan Cattaneo finse di aver superato per uscire da una clinica psichiatrica?,['omosessualità'],una parola
2275_mantova.txt,Quale evento naturale ha reso necessario prosciugare il lago Paiolo che bagna Mantova nel XVII?,['inondazione'],una parola
2342_ferruccio_lamborghini.txt,Qual era il mestiere del nonno paterno di Tonino Lamborghini?,['Agricoltore'],una parola
2763_sulla_mia_pelle_film_2018.txt,Di quale patologia soffriva Stefano Cucchi quando è stato portato in caserma?,['epilessia'],una parola
2848_angelo_pintus.txt,"Angelo Pintus debutta nel cinema con il film ""Ma tu di che segno sei?"" ?",['No'],una parola
0462_paolo_gentiloni.txt,Chi era la più alta carica dello stato italiano nel 2016?,"['Mattarella', 'Sergio Mattarella']",un nome
0490_levante_cantante.txt,"Di quale album fa parte il singolo di Levante ""Abbi cura di te""?",['Abbi cura di te'],un nome
0492_massacri_delle_foibe.txt,Chi guidò l'Esercito Popolare di Liberazione jugoslavo che annesse i territori italiani tramite i trattati di pace di Parigi del 1947?,"['Broz Tito', 'Tito', 'Josip Broz Tito']",un nome
0542_episodi_de_il_commissario_montalbano.txt,"Nella puntata ""il ladro di merendine"" di ""il commissiario Montalbano"", qual è il cognome dell'uomo che ospitava in casa propria il piccolo Francois quando quest'ultimo riconosce alla televisione un uomo che era stato ammazzato?",['Montalbano'],un nome
0570_lucio_dalla.txt,"Qual era il nome della cognata di Ariodante Dalla, cantante neomelodico noto negli anni quaranta e cinquanta?","['Jole Melotti', 'Melotti']",un nome
0595_lo_chiamavano_jeeg_robot.txt,Come si chiama il secondo personaggio che ottiene poteri soprannaturali nel film Lo Chiamavano Jeeg Robot?,"['Lo Zingaro', 'Zingaro']",un nome
0606_perfetti_sconosciuti.txt,"In Perfetti sconosciuti, la madre di chi Carlotta sta cercando di sistemare in una casa di riposo?",['Lele'],un nome
0661_raz_degan.txt,Di quale trasmissione televisiva è co-conduttore Raz Degan nello stesso anno in cui partecipa come concorrente a Ballando con le stelle?,['Mistero'],un nome
0697_lallieva_serie_televisiva.txt,"Come si chiama il Magistrato di cui Alice, la protagonista della serie televisiva L'Allieva, si innamora per un breve periodo?","['Sergio Einardi', 'Einardi Sergio', 'Sergio']",un nome
0763_lory_del_santo.txt,Quale è il nome della rivista per cui Lory Del Santo posa che ha un nome fortemente correlato e molto simile alla sua passione adolescenziale?,['Il fotografo'],un nome
0796_paola_turci.txt,Qual è il titolo della canzone di Paola Turci che vinse il Premio della Critica tra le nuove proposte nel 1988?,['Sarò bellissima'],un nome
0813_federico_bernardeschi.txt,Qual è stata la seconda squadra in cui Bernardeschi ha giocato dagli inizi della sua carriera calcistica?,['Ponzano'],un nome
0864_simone_zaza.txt,Qual è il nome della seconda squadra dove Simone Zaza viene ceduto in prestito?,['Viareggio'],un nome
0924_vincenzo_de_luca_politico_1949.txt,Come si chiama il figlio di Vincenzo De Luca che è deputato del PD dal 2018?,"['Piero', 'P. De Luca', 'Piero De Luca']",un nome
0939_campania.txt,"Quale popolo causò l' abbandono quasi completo del coronimo ""Campania""?",['Longobardi'],un nome
1031_stefano_dorazio.txt,Qual è l'ultimo gruppo di cui Stefano D'Orazio fece parte prima di unirsi ai Pooh?,['Il Punto'],un nome
1042_francesco_nuti.txt,Per quale film Francesco Nuti riceve un premio come attore protagonista?,"['Io, Chiara e lo Scuro']",un nome
1056_ricchi_e_poveri.txt,Qual è la prima band di cui facevano parte Franco Gatti e Angelo Sotgiu prima di entrare nei Ricchi e Poveri?,"['Jets', 'Dei Jets', 'I Jets']",un nome
1083_statistiche_della_serie_a.txt,Quale squadra milanese ha giocato solo in Serie A dal 1929 al 2024?,"['Football Club Internazionale Milano', 'FC Internazionale Milano', 'Inter', 'Internazionale']",un nome
1099_sparizione_di_emanuela_orlandi.txt,Come si chiamava la scuola dalla quale Emanuela Orlandi telefonò a casa il giorno della sua scomparsa?,"['Accademia di Musica ""Tommaso Ludovico da Victoria', 'Tommaso Ludovico da Victoria']",un nome
1110_alitalia.txt,Qual è la società con la minor partecipazione nel capitale sociale di Alitalia dopo l'assorbimento della LAI?,['SIAI-Marchetti'],un nome
1157_incidente_di_vermicino.txt,Nei confronti di chi fu il processo che sensibilizzò l'opinione pubblica sulla nascita del Dipartimento della protezione civile?,"['Pisegna', 'Amedeo Pisegna']",un nome
1181_ilenia_pastorelli.txt,In quale film ha recitato Ilenia Pastorelli l'anno successivo al conseguimento del premio David di Donatello?,['Niente di serio'],un nome
1342_città_del_vaticano.txt,"Chi fu il pontefice sovrano quando nel 1870 lo Stato della Chiesa fu annesso dal Regno d'Italia quando i bersaglieri (il 20 settembre) penetrarono a Roma attraverso la breccia di Porta Pia, astenendosi dall'occupare militarmente il solo rione Borgo ?","['Pio IX', 'Papa Pio IX', 'Pio Nono', 'Papa Pio Nono']",un nome
1367_rosy_abate.txt,La morte di quale personaggio porta Rosy Abate ad avere una relazione con Domenico Calcaterra?,['Claudia Mares'],un nome
1448_alex_baroni.txt,Chi ha presieduto nel 1997 la giuria di qualità del programma nella cui edizione Giovani Alex Baroni aveva cantato il brano Ce La Farò?,"['Pavarotti', 'Luciano Pavarotti']",un nome
1472_éder_calciatore_1986.txt,In quale squadra Éder giocava quando realizzò il suo centesimo gol in Serie A?,['Sampdoria'],un nome
1619_plinio_fernando.txt,In quale ruolo Plinio Fernando ha interpretato un personaggio del sesso opposto?,"['Mariangela Fantozzi', 'Mariangela']",un nome
1753_napoli_velata.txt,Nel film Napoli Velata chi è il secondo uomo che vuole avere un rapporto d'amore con la protagonista Adriana?,['Luca'],un nome
1810_clarice_orsini.txt,Il matrimonio tra Lorenzo il Magnifico e Clarice avvenne nella città d'origine di quale delle due famiglie?,"['Orsini', 'degli Orsini', 'Famiglia Orsini']",un nome
1827_caso_aldrovandi.txt,Chi effettuò la telefonata al 112 a seguito della quale vennero inviati Pontani e Pollastri nel caso dell'omicidio di Federico Aldovrandi?,['Cristina Chiarelli'],un nome
183_suburra_-_la_serie.txt,Quale personaggio è segnato più da un conflitto interno morale?,"['Amedeo Cinaglia', 'Cinaglia', 'Il personaggio Amedeo Cinaglia']",un nome
1843_francesca_chillemi.txt,"Nelle serie ""Vita da paparazzo"" e ""Squadra antimafia"" i due personaggi interpretati da Francesca Chillemi hanno lo stesso nome di battesimo. Qual è?",['Michela'],un nome
1848_episodi_di_don_matteo_undicesima_stagione.txt,Nell'undicesima stagione della serie Don Matteo chi è il personaggio che lascia la serie dopo essere stato trasferito a Roma per diventare Maggiore?,"['Giulio Tommasi', 'Tommasi', 'Giulio']",un nome
1910_rai_5.txt,Quale semifinale di una manifestazione canora trasmesso su rai5 nel 2013 raggiunge 150.000 spettatori?,"['Eurovision Song Contest', 'Eurovision']",un nome
2009_lucrezia_lante_della_rovere.txt,Chi è stato il compagno di Lucrezia Lante della Rovere dopo la fine della sua relazione con Giovanni Malagò?,"['Barbareschi', 'Luca Barbareschi']",un nome
2025_pietro_pellegri.txt,"Chi deteneva il primato di essere il più giovane calciatore ad aver realizzato una doppietta in Serie A, prima di Pellegri?","['Piola', 'Silvio Piola']",un nome
2094_gianni_boncompagni.txt,"Quale conduttrice, grazie ai programmi televisivi ideati da Gianni Boncompagni nella prima metà degli anni ottanta, riuscì a ottenere un successo anche fuori dall'Italia?","['Raffaella Carrà', 'Carrà Raffaella', 'Raffaella Maria Roberta Pelloni', 'Raffaella', 'La Carrà']",un nome
2098_valentina_lodovini.txt,Qual è il nome della band del secondo videoclip in ordine di tempo in cui compare Valentina Lodovini?,['Baustelle'],un nome
2187_carlo_conti_conduttore_televisivo.txt,Quale attore esordisce nella trasmissione Succo d'arancia creata da Carlo Conti e Leonardo Pieraccioni?,"['Panariello', 'Giorgio Panariello']",un nome
2252_max_gazzè.txt,con chi ha collaborato Max Gazzè per scrivere i testi del suo quarto album?,['Francesco Gazzè'],un nome
2265_gaetano_castrovilli.txt,"Chi si classificò primo come Miglior Giovane della Serie B, quattro anni dopo l'esordio di Gaetano Castrovillo in prima squadra con il Bari?","['Tonali Sandro', 'Sandro Tonali']",un nome
227_un_medico_in_famiglia.txt,"Nella prima stagione di ""un medico in famiglia"", quale relazione vorrebbe intrattenere Lele?",['Alice'],un nome
2302_roberto_gualtieri.txt,Qual è il nome della figura a cui è dedicata l'associazione di cui è stato vicedirettore il politico che ha ricoperto il ruolo di ministro dell'economia e delle finanze fino al 13 febbraio 2021?,"['Antonio Gramsci', 'Gramsci', 'Antonio Sebastiano Francesco Gramsci']",un nome
2311_personaggi_di_un_medico_in_famiglia.txt,Con quale nome viene chiamato il personaggio di Gabriele nella serie Un Medico In Famiglia?,['Lele'],un nome
2394_limmortale_film_2019.txt,"Quale tragico evento portò alla perdita della famiglia del personaggio di Ciro di Marzio, detto l'Immortale?","[""Terremoto dell'Irpinia"", ""Terremoto dell'Irpinia del 1980"", 'Terremoto']",un nome
2396_virna_lisi.txt,Quale è il nome di battesimo del padre della prima attrice non francese della storia ad aver vinto un Premio César come migliore attrice non protagonista?,['Dario'],un nome
2421_giorgio_panariello.txt,"Chi ha scoperto artisticamente Giorgio Panariello, garantendogli l'esordio sul piccolo schermo?","['Conti', 'Carlo Conti']",un nome
2507_riforma_delle_pensioni_fornero.txt,Chi era il presidente del Consiglio all'epoca della riforma delle pensioni Fornero?,"['Monti', 'Mario Monti']",un nome
0484_virginia_raffaele.txt,Chi era la campionessa olimpica imitata da Virginia Raffaele?,"['Federica Pellegrini', 'Pellegrini']",un nome
0567_monica_vitti.txt,Qual è il cognome da nubile della madre di Giorgio Ceciarelli?,['Vittiglia'],un nome
0633_luciano_ligabue.txt,Con quale gruppo musicale amatoriale Ligabue vinse il concorso musicale Terremoto Rock?,"['Gli Orazero', 'Orazero']",un nome
0634_pooh.txt,"Come si chiama il locale di Milano nel quale i Pooh incontrano Riccardo Fogli, loro futuro cantante?",['Piper'],un nome
0730_lisola_dei_famosi.txt,Chi è la terza persona ad aver condotto L'isola dei famosi?,"['Alessia Marcuzzi', 'Marcuzzi']",un nome
0839_adua_del_vesco.txt,Con quale regista Rosalinda Cannavò ha lavorato di più dal suo debutto nel 2012 fino al 2016?,"['Inturri', 'Alessio Inturri']",un nome
0859_luca_marinelli.txt,Con quale film Luca Marinelli ha vinto il suo primo premio David di Donatello?,['Lo chiamavano Jeeg Robot'],un nome
0863_fiorello.txt,Qual è il nome completo di Fiorello?,['Rosario Tindaro Fiorello'],un nome
0872_peppino_impastato.txt,Chi era il predecessore del capomafia che commissionò l'assassinio di Giuseppe Impastato?,"['Manzella', 'Cesare Manzella']",un nome
0899_cristiana_capotondi.txt,Insieme a chi ha recitato Cristiana Capotondi nel film La peggior settimana della mia vita l'anno in cui è stata madrina del Giro d'Italia?,"['Fabio De Luigi', 'De Luigi']",un nome
0977_luigi_tenco.txt,Come si chiamava il fratello maggiore di Luigi Tenco?,"['Valentino Tenco', 'Valentino']",un nome
1201_teresa_bellanova.txt,In quale circoscrizione Teresa Bellanova viene rieletta alla Camera nel 2008 e poi nel 2013?,"['Puglia', 'Circoscrizione Puglia']",un nome
1209_la_porta_rossa.txt,"Quale collega della moglie di Leonardo Cagliostro, è da sempre innamorato di lei?","['Antonio Piras', 'Piras']",un nome
1214_bernardo_provenzano.txt,"Durante la cosiddetta «strage di viale Lazio» (10 dicembre 1969), il Boss Bernardo Provenzano a chi si avvicinò, ritenendolo ormai morto e colpendolo più volte con il calcio della mitraglietta alla testa, per poi finirlo con un colpo di pistola?","['Cavatajo', 'Il Cobra', 'Boss di Cosa Nostra Michele Cavataio', 'Boss Michele Cavataio', 'Michele Cavataio', 'Cavataio Michele']",un nome
1282_renato_pozzetto.txt,Quale genere cinematografico ha reso famoso Renato Pozzetto come attore?,"['Commedia', ""Commedia all'Italiana""]",un nome
1381_pago_cantante.txt,Dopo quale reality show Pago pubblica il suo primo album?,['Music Farm'],un nome
1404_donatella_gruppo_musicale.txt,"In che anno esce il brano ""Mal de amores"" di Le Donatella e Juan Magán?","['duemila e tredici', 'duemila tredici', '2013', 'Duemilatredici']",un nome
1407_mario_giordano.txt,Quale quotidiano ha la sede in via Negri nel 2007?,['il Giornale'],un nome
1415_stefano_sensi.txt,Contro quale squadra Stefano Sensi realizzò il suo primo gol da professionista durante il prestito al San Marino nella stagione 2013-2014?,"['Como', 'Como 1907', 'A.C. Como']",un nome
